ID,query name ,
2679179,Lido net deposits change,
2828505,Token prices,
2768041,stETH:ETH rate,
3003775,stETH:wstETH rate,
2481449,Lido buffer,
2786040,Lido BC deposits 7d ,
2786038,Lido BC deposits/withdrawals 7d dynamics,
2512083,unstETH NFT finalizing time,
2782507,Locked in Defi,
1681618,(w)stETH locked by protocol,
2819122,(w)stETH locked 1d change by protocol,
2782801,Current liquidity reserves by pair,
54190,reserves of tokens pares to (w)steth in liquidity pools 1d/7d changes,
2769771,Lido APR breakdown,
2771167,Pending users withdrawals,
2818519,"ETH net deposits 7d period, inflow",
2005642,ETH deposits labels,MV
570874,Lido staking APR 7d MA,
2818580,"ETH net deposits 7d period, outflow",
2415558,LSTs holders,
2111543,ETH staked with Lido (deposits + protocol buffer),
2770733,(w)stETH 7d trading volume dynamics,
2770416,(w)stETH 7d trading volume dynamics (breakdown),
2771804,Top address,
2771340,liquidations last 7d,
1288160,Lido post Merge APR,
374112,Curve ETH/stETH,
2768378,ETH staked with Lido 7d ago,
54908,stETH locked by protocol 1d ago,
459431,Aave v2 lending pool,
2768381,Lido buffer 7d ago,
3137746,not finalized withdrawals requests: time since request,
3137795,Age of the oldest requestNot finalized withdrawals requests,
2768351,ETH staked with Lido (deposits + protocol buffer) 24h ago,
1974110,"wstETH holders, wstETH",
3088763,Chorus One ETH depositor addresses,
54574,stETH locked by protocol,
3137795,not finalized withdrawals requests,
1038304,Withdrawals_transactions_assigned_to_projects,
3004338,Deposits_assigned_to_projects,
3146090,BatchDeposit contracts deposits,